STN Code,Dissolved Oxygen,Location Name,State Name,Year,pH,Conductivity,BOD,Nitrate N + Nitrite N,Fecal Coliform,Total Coliform,WQI,lat,lon
3582,3.9,HEBBAL LAKE,KARNATAKA,2017,7.8,1871.5,15.65,0.74,1850.0,5850.0,246.62900810850167,13.04720245,77.5867146856506
3583,6.35,KUKKARAHALLI LAKE,KARNATAKA,2017,8.45,738.0,6.5,0.44000000000000006,1310.0,5450.0,152.80494364115478,12.30872155,76.63734513324133
3584,2.1500000000000004,DALAVAI LAKE,KARNATAKA,2017,7.8,964.0,17.2,2.165,3000.0,7350.0,294.505615578676,14.5203896,75.7223521
3585,2.3,YENNEHOLE LAKE,KARNATAKA,2017,7.9,987.0,17.6,1.92,2200.0,7350.0,281.33461182579856,14.5203896,75.7223521
1383,5.3,ORUVATHILKOTTA LAKE,KERALA,2017,6.75,560.0,8.5,0.6,925.0,2370.0,136.8299178850172,10.3528744,76.5120396
1385,5.699999999999999,SASTHAMCOTTA LAKE,KERALA,2017,6.7,137.0,1.8,0.74,120.0,300.0,56.37720727863137,10.3528744,76.5120396
1441,6.25,ASHTHAMUDI LAKE AT QUILON,KERALA,2017,7.199999999999999,24398.0,1.9,1.115,250.0,580.0,71.64386792901085,10.3528744,76.5120396
1574,6.25,PARAVUR,KERALA,2017,7.25,23550.0,2.0,1.105,220.0,490.0,72.52435052048921,8.8098891,76.6715303
1575,5.550000000000001,KOCHI (OIL TANKER JETTY),KERALA,2017,7.35,27699.5,2.25,0.735,8655.0,35380.0,275.10889231349086,10.3528744,76.5120396
1576,4.45,THEKKADY,KERALA,2017,7.1,57.5,0.25,1.175,401.0,1401.0,62.10514187467227,9.5804995,77.181142
1577,5.75,KODUNGALLOOR,KERALA,2017,7.35,28552.5,2.2,0.505,47200.0,60235.0,1132.3803989539065,10.2269615,76.19840495
1578,5.5,KAYAMKULAM,KERALA,2017,7.5,26163.0,2.5,0.29,250.0,435.0,86.03881684716924,9.1723603,76.500061
1579,5.8,ALAPPUZHA,KERALA,2017,7.15,9334.0,3.5,0.275,240.0,440.0,83.42652886364424,9.5006651,76.41241428564258
1580,6.0,POOKOTE,KERALA,2017,7.15,29.0,1.3,0.11499999999999999,18.0,58.0,55.915511043415655,10.3528744,76.5120396
2312,6.800000000000001,LAKE VEMBANADU AT PATHIRAMANAL (ALAPPUZHA),KERALA,2017,7.300000000000001,11496.0,1.85,0.175,160.0,280.0,65.27486184200964,10.3528744,76.5120396
2318,7.1,PAZHASSI RESERVOIR (KANNUR),KERALA,2017,7.05,3043.5,1.4500000000000002,0.31499999999999995,282.0,690.0,56.886828387400264,10.3528744,76.5120396
2328,5.6499999999999995,RSVR AT MALAMPUZHA,KERALA,2017,7.55,137.5,4.45,0.495,148.0,181.0,95.39604368327579,10.3528744,76.5120396
2329,7.199999999999999,RSVR AT BHOOTHATHANKETU,KERALA,2017,6.8,31.0,1.25,300.375,3225.0,3952.0,148.27288601923868,10.3528744,76.5120396
2330,7.35,RSVR AT EDAMALAYAR,KERALA,2017,6.95,27.5,1.15,0.13,24501.0,39508.5,595.1693193951122,10.3528744,76.5120396
3470,6.5,VELLAYANI LAKE AT VANDITHADOM,KERALA,2017,6.5,157.5,1.35,0.025,340.0,780.0,49.97487667310081,8.4882267,76.947551
1373,7.9,UPPER LAKE AT BHOPAL (INTAKE POINT),MADHYA PRADESH,2017,8.0,257.5,10.7,1.91,2.0,845.0,144.80498758939882,19.12195775,72.90929420210506
1374,7.449999999999999,LOWER LAKE AT BHOPAL OUTLET M.P.,MADHYA PRADESH,2017,7.8500000000000005,414.0,3.4000000000000004,5.8,130.0,895.0,83.0493823208642,23.8143419,77.5340719
1466,7.65,MULTAI TANK LAKE AT VILLA. KHARI ON BETUL-AMRAVATI ROAD M.P.,MADHYA PRADESH,2017,7.75,304.0,2.0,1.36,2.0,500.0,64.52885892065154,23.8143419,77.5340719
2128,7.5,KHANDARI RESERVOIR WATER OFF TAKE POINT,MADHYA PRADESH,2017,7.75,278.0,1.9,0.61,8.5,31.5,64.31773573853452,23.8143419,77.5340719
2129,7.05,PERIAT TANK JABALPUR,MADHYA PRADESH,2017,7.800000000000001,319.5,1.4,0.635,6.0,34.5,62.88170605692682,23.8143419,77.5340719
2131,6.35,YASHWANT SAGAR AT INDORE,MADHYA PRADESH,2017,8.1,755.5,1.75,1.615,2.0,71.5,74.6779834146126,23.8143419,77.5340719
2132,5.9,BILAWALI TALAB AT INDORE,MADHYA PRADESH,2017,7.85,605.5,2.0,2.835,21.0,90.0,75.24136198469556,23.8143419,77.5340719
2133,5.85,SIRPUR TALAB AT INDORE,MADHYA PRADESH,2017,8.3,487.0,2.8000000000000003,1.395,2.0,56.5,89.76281006937808,23.8143419,77.5340719
2134,7.050000000000001,NAGCHUN TALAB AT KHANDWA,MADHYA PRADESH,2017,8.0,425.5,1.7,1.195,2.0,65.0,69.0116464803113,23.8143419,77.5340719
2135,6.95,GOVINDGARH TANK,MADHYA PRADESH,2017,7.45,261.0,1.5,3.705,9.5,45.5,58.57547883985859,23.8143419,77.5340719
2136,6.55,SHAHPURA LAKE AT WEIR NEAR AYUSHMAN HOSPITAL,MADHYA PRADESH,2017,8.05,601.5,3.45,7.925,121.0,1260.0,91.44857567371237,23.2584857,77.401989
2137,7.95,UPPER LAKE AT YATCH CLUB,MADHYA PRADESH,2017,8.05,270.0,1.85,1.105,2.0,847.0,67.00628927007415,23.8143419,77.5340719
2138,7.85,UPPER LAKE AT KARBALA CLUB,MADHYA PRADESH,2017,8.0,253.5,2.15,0.955,2.0,160.0,69.1030837943724,23.8143419,77.5340719
2139,8.05,UPPER LAKE AT BAIRAGARH CLUB,MADHYA PRADESH,2017,8.2,260.5,2.1,1.03,2.0,845.0,71.33104791633824,23.8143419,77.5340719
2140,7.5,KERWA DAM NEAR REST HOUSE,MADHYA PRADESH,2017,8.05,235.5,1.85,0.2,2.0,122.0,68.90422645570393,23.2664845,77.4130845
2141,7.449999999999999,JANUNIA TALAB NEAR W-S,MADHYA PRADESH,2017,7.9,278.0,2.3,1.015,5.0,220.0,70.71121359063198,23.8143419,77.5340719
3296,7.1,CHORAL DAM NEAR INDORE,MADHYA PRADESH,2017,8.2,458.5,1.45,0.935,2.0,50.0,70.0050583174576,23.8143419,77.5340719
1347,5.9,UMIAM LAKE AT BARAPANI,MEGHALAYA,2017,7.300000000000001,92.5,5.15,0.8300000000000001,2200.0,3800.0,142.2894297223592,25.5379432,91.2999102
1348,7.3,WARD LAKE AT SHILONG EAST,MEGHALAYA,2017,7.25,165.0,5.25,0.65,1405.0,2850.0,117.7640316097544,25.5379432,91.2999102
1459,6.85,THADLASKEIN LAKE,MEGHALAYA,2017,7.2,48.5,2.0,0.23,19.5,47.0,58.938198899012455,25.5379432,91.2999102
3346,5.05,UMIAM LAKE AT OUTFALL OF UMIAM RIVER INTO LAKE,MEGHALAYA,2017,7.6,165.0,7.6,1.875,2500.0,4550.0,180.20885226430406,25.87640255,91.85675741641606
3347,5.6,UMIAM LAKE AT MIDDLE POINT,MEGHALAYA,2017,7.7,124.5,4.85,0.885,2050.0,3600.0,144.669199513079,25.87640255,91.85675741641606
3348,6.199999999999999,UMIAM LAKE ATNEAR UNITED CHRISTIAN COLLEGE,MEGHALAYA,2017,7.45,127.0,4.9,0.79,2000.0,3600.0,136.7696284478007,25.87640255,91.85675741641606
3349,3.9499999999999997,TASEK LAKE AT SONGSAK (NAPHAK),MEGHALAYA,2017,7.1,71.0,1.95,0.35,22.0,46.5,70.78489937427817,25.61849455,90.63421621777748
2437,6.800000000000001,CHILKA LAKE (RAMSAR SITE),ODISHA,2017,7.85,33098.0,1.75,1.04,2701.0,4601.0,136.00049617948295,20.5431241,84.6897321
2438,9.35,ANSHUPA,ODISHA,2017,7.85,238.0,2.25,2.12,12245.0,18050.0,335.19251663318227,20.4574941,85.6048965413869
3953,7.5,CHILKA AT RAMBHA,ODISHA,2017,8.0,25400.0,1.45,0.8799999999999999,2701.0,2701.0,130.43922020393606,20.5431241,84.6897321
3954,6.0,TAMPADA LAKE AT CHHATRAPUR,ODISHA,2017,8.0,604.5,7.25,2.3049999999999997,4601.0,8039.0,226.89519046754583,20.5431241,84.6897321
3955,6.949999999999999,ANSHUPA AT SUBARANAPUR,ODISHA,2017,7.85,208.5,2.35,2.23,5539.0,9050.0,197.23198421412891,20.5431241,84.6897321
3956,6.95,ANSHUPA AT BISHNUPUR,ODISHA,2017,7.800000000000001,159.5,2.15,1.52,2895.0,7150.0,135.5722968668071,20.5431241,84.6897321
3957,6.75,ANSHUPA AT SARAANDAGARH,ODISHA,2017,7.85,187.5,2.1500000000000004,1.3250000000000002,7245.0,12200.0,234.77158241698498,20.5431241,84.6897321
1396,7.25,OSTERI LAKE,PUDUCHERRY,2017,8.25,457.5,11.5,0.055,2.0,21.0,159.01224425189528,10.91564885,79.80694879844232
1686,7.1,BAHOUR LAKE,PUDUCHERRY,2017,8.45,790.0,0.9,0.49,56.0,83.0,70.70273576159347,11.8245095,79.73715777860332
1297,6.7,HARIKE LAKE AT HARIKE VILLAGE,PUNJAB,2017,7.4,309.0,1.7999999999999998,0.665,1135.0,395.0,86.2293789067435,30.9293211,75.5004841
1382,6.65,HARIKE LAKE D-S FROM CANAL,PUNJAB,2017,7.2,301.0,1.85,1.1800000000000002,370.0,505.0,66.59029284295212,30.9293211,75.5004841
2912,6.800000000000001,RANJIT SAGAR RESERVOIR,PUNJAB,2017,7.25,317.0,1.3,1.05,186.5,430.0,57.77966991755799,30.9293211,75.5004841
1285,6.75,PICHOLA LAKE AT UDAIPUR (WATER INTAKE POINT),RAJASTHAN,2017,8.1,770.0,1.3,2.3,9.0,85.0,69.00612616650287,26.8105777,73.7684549
1286,6.05,UDAISAGAR LAKE AT UDAIPUR (INTAKE PT.) RAJASTHAN,RAJASTHAN,2017,8.15,890.0,2.0,1.81,42.0,85.0,80.14142275199089,26.8105777,73.7684549
1414,4.9,PUSHKAR LAKE,RAJASTHAN,2017,7.800000000000001,380.0,1.75,1.43,9.0,65.5,76.4969761379098,26.4875533,74.55404662867572
1481,7.2,FATEH SAGAR LAKE AT UDAIPUR INTAKE POINT OF PHED,RAJASTHAN,2017,8.2,565.0,1.5,2.09,14.0,80.5,70.38867751876298,26.8105777,73.7684549
1714,5.6,KAYALANA JHEEL JODHPUR,RAJASTHAN,2017,8.05,315.0,1.25,1.5599999999999998,6.5,15.0,72.975858127983,26.8105777,73.7684549
1716,5.25,NAKKI LAKE,RAJASTHAN,2017,7.55,285.0,1.4,3.82,8.5,13.5,67.59323039472991,24.5953049,72.70390264699941
2935,5.35,LAKE JET SAGAR,RAJASTHAN,2017,7.65,375.0,1.45,1.4,9.0,19.5,69.05829180977184,25.4367659,75.736147085863
2936,6.9,JAISAMAND LAKE,RAJASTHAN,2017,8.5,320.0,1.0,1.84,4.0,20.0,72.29679441599109,27.41400485,76.61703869600933
2937,6.699999999999999,LAKE SILISERH,RAJASTHAN,2017,7.85,240.0,1.25,0.85,8.5,16.0,64.16270420438548,27.41400485,76.61703869600933
2938,5.35,LAKE RAJSAMAND,RAJASTHAN,2017,8.1,535.0,1.55,1.32,9.0,43.0,77.78606179292903,25.07747625,73.88626319669183
2939,5.35,LAKE RAJSAMAND,RAJASTHAN,2017,8.15,545.0,1.4,1.44,13.5,80.5,77.44931128185907,25.07747625,73.88626319669183
2940,5.9,GAPE- SAGAR LAKE,RAJASTHAN,2017,7.95,700.0,2.05,1.67,21.5,86.5,77.32356341054864,23.8538893,73.7087177
2941,7.85,LAKE JAISAMAND,RAJASTHAN,2017,8.0,505.0,1.7000000000000002,1.69,13.5,85.0,65.49351400921464,24.13770075,74.04723864534469
2942,7.55,LAKE JAISAMAND,RAJASTHAN,2017,8.2,495.0,2.05,1.94,23.0,80.5,73.74080409809076,24.13770075,74.04723864534469
2943,4.65,LODHA TALAB,RAJASTHAN,2017,7.550000000000001,835.0,1.65,2.135,21.5,50.0,72.92616195397828,23.49150465,74.35021720129201
2944,3.3,JALMAHAL,RAJASTHAN,2017,8.8,4200.0,8.75,2.58,80.5,305.0,166.12275940469362,26.9464166,75.8481731
1420,5.8,KODAI KANAL LAKE,TAMIL NADU,2017,7.15,114.0,4.2,0.77,42.0,55.0,83.16969450817096,10.9094334,78.3665347
1421,5.199999999999999,UDHAGAMADALEM LAKE (OOTY),TAMIL NADU,2017,7.4,523.0,13.8,1.0,780.0,1750.0,192.19877046236385,10.9094334,78.3665347
1452,6.7,YERCAUD LAKE,TAMIL NADU,2017,7.550000000000001,367.5,4.8,1.0,734.0,1595.0,106.83016809198868,11.7832744,78.21046871339286
3007,6.8,VEERANAM LAKE AT CUDDALORE,TAMIL NADU,2017,8.3,848.0,3.3,1.0,605.0,1065.0,103.22295593674082,10.9094334,78.3665347
3008,5.1,POONDI LAKE AT THIRUVALLUR,TAMIL NADU,2017,7.55,1035.5,23.5,0.6900000000000001,231.0,1080.0,268.9307031362674,10.9094334,78.3665347
1391,1.3,HUSSAIN SAGAR LAKE,TELANGANA,2017,7.7,1183.5,17.5,4.95,104.0,410.0,234.24259723116626,17.42291125,78.47542103126167
1788,0.65,SAROONAGAR,TELANGANA,2017,7.75,1314.0,29.0,4.65,75.0,550.0,339.42220894586256,17.4755464,78.3029526
1789,5.0,HIMAYAT SAGAR LAKE,TELANGANA,2017,8.25,360.5,2.0,0.95,22.5,283.0,86.32972410956154,17.4755464,78.3029526
2340,3.95,LAXMINARAYANA CHEVURU AT EDULABAD,TELANGANA,2017,8.05,1161.0,14.0,2.85,77.0,350.0,195.7409199552908,16.9344152,77.7788338
2341,1.25,MIRALAM LAKE NEAR ZOO PARK,TELANGANA,2017,7.95,1503.0,18.5,5.45,37.5,563.0,246.36207858039657,16.9344152,77.7788338
2342,0.1,NOOR MD. KUNTA,TELANGANA,2017,7.6,1885.0,37.5,3.43,42.5,590.0,413.99031101758953,16.9344152,77.7788338
3069,4.05,SHAMEERPET LAKE,TELANGANA,2017,8.05,380.5,3.5,3.05,30.0,406.0,101.13399145994677,17.7385691,79.130207
3071,1.1500000000000001,LANGARHOUSE LAKE,TELANGANA,2017,7.5,1168.5,19.0,2.4,64.0,420.5,243.60610955009068,17.360589,78.4740613
3073,1.05,HASMATHPET LAKE,TELANGANA,2017,7.95,1301.5,21.0,2.71,35.0,560.0,269.0545349983006,17.47582539878519,78.48473706511365
3074,0.55,BANJARA LAKE,TELANGANA,2017,7.7,1084.5,20.0,2.3,59.0,565.0,258.70801466227175,17.410768,78.44854448849662
1727,7.9,LAXMI NARAYAN BARI PALACE COMPOUND,TRIPURA,2017,7.95,149.0,1.75,0.88,195.0,315.0,68.72796155054463,23.7750823,91.7025091
1728,7.4,RUDRASAGAR,TRIPURA,2017,7.4,179.0,1.85,0.57,195.0,315.0,62.44499935434966,23.4995742,91.31765830218896
3391,7.449999999999999,DHAMBUR LAKE,TRIPURA,2017,7.449999999999999,100.0,1.25,1.11,170.0,280.0,57.24156503962782,23.8253158,91.9732226716333
1364,7.85,RAMGARH LAKE,UTTAR PRADESH,2017,7.9,471.5,4.5,0.83,12050.0,19950.0,359.2098003466108,27.0487062,76.05148839669879
2499,5.65,SAMARPUR JHEEL,UTTAR PRADESH,2017,8.149999999999999,485.0,4.7,0.6050000000000001,5750.0,8450.0,233.91611370629,26.20867685,81.21862977045768
1765,9.85,RABINDRASAROVAR NATIONAL LAKE,WEST BENGAL,2017,7.550000000000001,409.0,7.8,0.5599999999999999,6700.0,8900.0,251.83913034394436,22.5726459,88.3638953
2544,5.25,SAHEBBANDH AT PURULIA,WEST BENGAL,2017,7.7,469.0,3.0,0.35,9350.0,15650.0,294.2122258850999,22.9964948,87.6855882
1790,6.300000000000001,PULICATE LAKE,ANDHRA PRADESH,2018,7.55,27935.0,4.35,2.1,3.0,1350.0,94.76060721736445,13.69533305,80.05929292562215
2353,6.25,KONDACHARLAAAVA LAKE,ANDHRA PRADESH,2018,7.7,962.5,1.35,2.0,27.0,1375.0,65.6050027454114,17.60320265,83.00084455498865
2205,4.7,MER BEEL AT MADHABPUR,ASSAM,2018,6.4,73.0,32.6,4.1,1351.0,10501.0,358.4791724244142,26.4073841,93.2551303
2206,6.5,DALONI BEEL NEAR JOGIGHOPA,ASSAM,2018,8.15,124.5,1.4500000000000002,0.6000000000000001,181.0,456.0,75.96440954229263,26.4073841,93.2551303
2557,11.5,KAWAR LAKE BEGUSARAI,BIHAR,2018,7.85,307.0,2.5999999999999996,17.5,7500.0,16500.0,224.29206605450068,25.5125411,86.08833919362361
2571,10.3,MOTI JHEEL AT MOTIHARII,BIHAR,2018,8.15,554.5,2.5,1.9,5950.0,13000.0,197.6605067817042,25.6440845,85.906508
4296,8.1,SIKANDARPUR,BIHAR,2018,7.35,783.5,2.3,0.5,5500.0,10500.0,181.97425146836534,25.6625441,77.90012166111927
2046,7.35,SUKHNA LAKE,CHANDIGARH,2018,7.75,242.5,2.5,2.45,9001.0,15001.0,272.86333754613185,30.74197755,76.81767472201017
3030,16.4,SANJAY LAKE,DELHI,2018,8.7,1162.0,17.0,0.0,170.0,280.0,175.4146457392109,28.6155068,77.30637568452964
1549,7.3,SALAULIM LAKE AT SALAULIM  SANGUEM,GOA,2018,7.3,48.0,1.45,0.2,12.5,24.5,53.47704292079351,15.3004543,74.0855134
2269,7.75,MAYEM LAKE,GOA,2018,7.1499999999999995,145.5,2.4,0.35,8725.0,14390.0,253.14535350124152,15.5765136,73.9410291
3175,6.55,ANJUNEM LAKE,GOA,2018,7.55,116.5,1.0,0.05,273.5,466.5,63.31365247885007,15.3004543,74.0855134
3176,6.2,RUMDER LAKE,GOA,2018,7.55,207.5,5.0,7.95,6600.0,12225.0,243.8989377479884,15.3004543,74.0855134
3177,5.25,CARAMBOLIM LAKE,GOA,2018,7.6,253.0,1.95,0.55,1250.0,2650.0,101.0235298528029,15.3004543,74.0855134
3178,8.0,RAIA LAKE,GOA,2018,7.35,144.5,2.8,0.7,4050.0,8725.0,154.28010920784013,15.3004543,74.0855134
3179,4.45,SAIPEM LAKE,GOA,2018,7.15,531.0,3.55,3.2,39000.0,73000.0,962.5633582886967,15.3004543,74.0855134
3180,5.4,CURTORIM LAKE,GOA,2018,6.8,149.0,2.85,6.0,4175.0,8890.0,161.06775100285424,15.2890843,74.01932923877243
1343,6.65,KANKORIA LAKE AT AHMEDABAD,GUJARAT,2018,8.75,1755.0,28.0,0.30000000000000004,33.0,320.0,317.70341496617453,22.3850051,71.745261
1344,6.199999999999999,CHANDOLA LAKE AT AHMEDABAD,GUJARAT,2018,8.55,888.5,23.5,0.15,44.5,320.0,276.6087338985708,22.3850051,71.745261
1345,8.05,AJWAH LAKE AT SRI SAYAJI SABVAR,GUJARAT,2018,7.95,323.5,0.55,0.65,6.5,18.5,53.1600854494453,22.2973142,73.1942567
1346,4.25,SURSAGAR LAKE AT BARODA,GUJARAT,2018,7.85,2840.5,5.699999999999999,0.8,276.0,483.5,121.93476111496823,22.3850051,71.745261
1972,4.6,NALSAROVAR LAKE (SANAND),GUJARAT,2018,8.75,15807.5,49.0,0.15,9.5,44.5,515.9727333061657,22.3850051,71.745261
1973,6.25,BINDUSAROVAR,GUJARAT,2018,7.800000000000001,2486.0,10.55,0.39999999999999997,10.5,51.5,148.28444776842562,22.3850051,71.745261
1975,5.6,LAKHOTA TALAV,GUJARAT,2018,7.75,480.0,7.75,0.30000000000000004,6.0,14.5,125.19513390326648,22.4732415,70.0552102
1976,6.8,NARSIMEHTA TALAV JUNAGADH,GUJARAT,2018,7.5,791.5,44.599999999999994,0.25,3.0,10.5,441.27946822170554,22.3850051,71.745261
2078,5.85,KUWADAVA LAKE,GUJARAT,2018,7.65,2385.0,17.25,0.15,8.0,11.0,206.80048339923994,22.3850051,71.745261
3197,5.05,MACHHUII DAM,GUJARAT,2018,7.8,1574.0,30.15,0.1,2.0,8.0,327.12672412395585,22.8003959,70.88623203876728
3198,4.45,GOMTI LAKE,GUJARAT,2018,7.75,540.0,2.1999999999999997,0.65,25.0,70.5,82.0828515097876,22.7589741,73.14757283750197
3199,3.6500000000000004,HAMISAR TALAV,GUJARAT,2018,7.7,1186.0,5.05,4.3,7.5,20.0,110.43567614962092,23.2472446,69.668339
3200,4.8,MOONSAR LAKE OF VIRAMGAM,GUJARAT,2018,8.9,4884.5,50.0,0.30000000000000004,38.0,244.0,524.7401922885033,22.3850051,71.745261
3201,5.35,MALAV TALAV,GUJARAT,2018,9.4,5829.5,24.0,0.30000000000000004,21.0,141.0,300.4277908969173,22.72670285,72.43542706979838
3202,5.3,VHERAIMATA TALAV AT ANAND,GUJARAT,2018,8.1,791.5,3.8000000000000003,0.3,29.0,129.5,98.35091466431213,22.3850051,71.745261
1291,9.8,GOBINDSAGAR LAKE AT BILASPUR,HIMACHAL PRADESH,2018,8.05,270.5,0.4,0.6000000000000001,73.0,600.0,46.732002465629606,30.90351215,74.9441870511005
1292,7.9,PONGDAM LAKE AT PONG VILLAGE,HIMACHAL PRADESH,2018,7.55,345.0,0.3,1.5,4.0,121.5,44.79097784371235,30.90351215,74.9441870511005
1429,6.85,RENUKA LAKE,HIMACHAL PRADESH,2018,8.0,614.0,1.4000000000000001,0.25,27.5,62.0,67.82029738765965,30.609078,77.46155437163742
2649,8.45,RIWALSAR LAKE,HIMACHAL PRADESH,2018,8.15,277.5,3.35,1.0,139.0,1260.0,82.72814139979786,31.9292352,77.1828462
